Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Java	1	@	@	1	@	@	@	@	@	19	@	@	@	@	@	@	@	
Code	1	@	@	1	@	@	@	@	@	19	20	27	@	@	@	@	@	
ASU Code Camp	1	@	@	1	@	@	@	@	@	19	32	@	@	@	@	@	@	
Minecraft	1	@	@	1	@	@	@	@	@	20	@	@	@	@	@	@	@	
Sugar Coded — Coding with JavaScript	0	@	@	1	@	@	@	@	@	20	28	@	@	@	@	@	@	
Adventures in Engineering & Rocket Science	1	@	@	1	@	@	@	@	@	47	69	@	@	@	@	@	@	
Programming	1	@	@	1	@	@	@	@	@	9	19	27	32	53	@	@	@	
Programming with Minecraft	1	@	@	1	@	@	@	@	@	24	@	@	@	@	@	@	@	
Minecraft Modding with Java & Forge	1	@	@	1	@	@	@	@	@	19	24	@	@	@	@	@	@	
Code Central Station: Python	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Python	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Airplane Tracking with Raspberry Pis	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Fundamentals of Computer Science in Python	0	2	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Computer Coding – Intermediate Track	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Summer Computing Academy for female students	0	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Python Programming: From Games to Google	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Raspberry Pi	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Python Camp	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Python	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Game Development with Python Programming	1	@	@	1	@	@	@	@	@	27	@	@	@	@	@	@	@	
Scratch	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Girls Coding Camp	0	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Introduction to Coding	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Scratch Camp	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
 Programming with Scratch I 	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
intro to coding camp	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Scratch Level 2	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Scratch Camp	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
Adventures in Programming	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
STEM Learn How to Code	1	@	@	1	@	@	@	@	@	28	@	@	@	@	@	@	@	
